Dataset,Metric,Mean,Median,Min,Max,IQR,25th Percentile,75th Percentile,Std Dev
HLQC_LO,%MIC,48.10554770038826,51.72413793103448,0.0,100.0,41.8421052631579,25.657894736842103,67.5,27.922898734794817
HLQC_HI,%MIC,92.37746748388678,95.81582633053222,50.0,100.0,10.964912280701753,89.03508771929825,100.0,9.724364086231795
\textit{MIBot},%MIC,98.08903984294278,100.0,82.75862068965517,100.0,2.3994252873563227,97.60057471264368,100.0,3.622099318061953
HLQC_LO,R:Q,0.700481293823628,0.3333333333333333,0.0,9.0,0.6508928571428572,0.08125,0.7321428571428572,1.2716132868720846
HLQC_HI,R:Q,2.3341488717357715,1.1471861471861473,0.0,62.0,1.1581738437001594,0.7287878787878788,1.8869617224880382,5.650009955821502
\textit{MIBot},R:Q,1.2629413709613073,1.25,0.4,2.5555555555555554,0.4557692307692309,1.0,1.455769230769231,0.3418638995639549
HLQC_LO,C:S,23.244892875571296,12.5,0.0,100.0,38.888888888888886,0.0,38.888888888888886,29.527356538284142
HLQC_HI,C:S,52.70065477684345,56.330128205128204,0.0,100.0,40.45453724398374,34.13602941176471,74.59056665574845,28.20461619494086
\textit{MIBot},C:S,59.44104787680318,64.70588235294117,0.0,100.0,38.37092731829575,42.10526315789473,80.47619047619048,25.656146673159927
