prolific_id,MICO,MIIN,R,Q,Other,C,S,N,%MIC,R:Q,C:S
67270dd5d7b7e418ba4f296f,12,0,21,17,8,3,8,10,1.0,1.2352941176470589,0.375
5f44021f15c23f6e8e413b91,13,0,17,13,5,13,1,6,1.0,1.3076923076923077,13.0
6400f14b24ac2b910c9f2d93,23,0,19,23,4,5,3,16,1.0,0.8260869565217391,1.6666666666666667
5fcca7bf6a7182b003b32a36,15,5,20,20,16,3,9,24,0.75,1.0,0.3333333333333333
6718da927f1110131780367d,4,0,27,16,5,8,11,12,1.0,1.6875,0.7272727272727273
5c4d87576aeb5d00010184f8,16,0,28,20,8,12,2,12,1.0,1.4,6.0
63d1c1095b55c7061678a96e,17,0,19,17,10,10,0,11,1.0,1.1176470588235294,0.0
6658b8079bdcfc7da425e0ec,14,2,17,20,16,7,9,14,0.875,0.85,0.7777777777777778
65735a2100e6cf8638803943,5,0,22,13,13,5,10,6,1.0,1.6923076923076923,0.5
669d1b8c4cc3b111f5b65a40,11,0,34,20,5,14,6,7,1.0,1.7,2.3333333333333335
5ecfd28bb14b1c05751f178c,16,0,18,15,7,7,2,14,1.0,1.2,3.5
567f59e0d18c640011e7ac0b,16,2,13,16,12,4,2,14,0.8888888888888888,0.8125,2.0
5dc5da21d999de45a504651b,8,0,11,12,6,5,3,8,1.0,0.9166666666666666,1.6666666666666667
5d2b24c5f91bdd0016e9865e,5,0,13,8,8,9,7,6,1.0,1.625,1.2857142857142858
631755de69157e27c295a340,9,2,17,14,7,7,5,10,0.8181818181818182,1.2142857142857142,1.4
66db58ca73be06273e7f8d78,19,0,29,17,9,3,3,20,1.0,1.7058823529411764,1.0
6672ebed0a2fc6fd8ad014c7,12,0,23,17,5,4,2,13,1.0,1.3529411764705883,2.0
66b19980c3c58c2bba58922e,12,0,12,14,5,6,7,7,1.0,0.8571428571428571,0.8571428571428571
6517301b6d21d25e19c7e501,11,0,22,16,6,2,7,10,1.0,1.375,0.2857142857142857
65c23bf7904812607642bad6,18,3,26,18,6,14,3,8,0.8571428571428571,1.4444444444444444,4.666666666666667
66d8e4c119fbcd2677d4eeba,11,0,27,16,7,14,5,12,1.0,1.6875,2.8
672625ba0544ba279d6e1219,24,18,35,28,18,12,12,16,0.5714285714285714,1.25,1.0
672c4935ef13e4a54fc284a9,20,0,28,19,9,6,9,11,1.0,1.4736842105263157,0.6666666666666666
5f9197ba39d009000b3d9268,12,7,29,20,32,11,2,10,0.631578947368421,1.45,5.5
66c3ecfbd5f63e042cac4b3e,17,4,13,15,27,4,5,11,0.8095238095238095,0.8666666666666667,0.8
672ba36306ffff22782b0727,18,0,14,16,12,2,3,15,1.0,0.875,0.6666666666666666
5bacf6a4b95cc700014b56a8,5,0,8,9,5,1,2,7,1.0,0.8888888888888888,0.5
5bc9f8b677740000016a08b5,14,3,22,20,15,10,10,14,0.8235294117647058,1.1,1.0
5e12194094d5ee89089a78d2,7,0,10,9,6,1,2,6,1.0,1.1111111111111112,0.5
66cbd449c6029aaeeafcb71f,14,1,24,16,10,14,3,17,0.9333333333333332,1.5,4.666666666666667
5e90a3adb3e1243bdcfaf973,8,0,17,13,7,8,2,11,1.0,1.3076923076923077,4.0
5ed62b33b663bd01d5aaa248,6,0,24,16,9,10,6,11,1.0,1.5,1.6666666666666667
5ccf4c5db46c7000170d7f5a,16,3,18,15,10,14,9,4,0.8421052631578947,1.2,1.5555555555555556
6112bab70c61f8247ee7e228,5,0,17,13,8,3,7,6,1.0,1.3076923076923077,0.4285714285714285
668912769c60f1491ca58981,11,0,20,18,6,8,1,8,1.0,1.1111111111111112,8.0
6061ea5fba199ba84a255ee5,13,0,13,15,15,8,2,8,1.0,0.8666666666666667,4.0
62d6ad4f05c13b6b7f6612e8,16,0,23,21,6,19,2,6,1.0,1.0952380952380951,9.5
66d74dbe2e622fcb810c8192,6,0,19,13,11,15,3,6,1.0,1.4615384615384617,5.0
670c2841cfd21749eb6feea8,13,0,13,18,6,8,1,10,1.0,0.7222222222222222,8.0
672a89bc5e3d67a9fdbdf803,21,4,30,26,16,9,4,14,0.84,1.1538461538461535,2.25
650497398724fb2ddc7f6640,17,0,16,17,7,12,4,6,1.0,0.9411764705882352,3.0
615d9f86fdd5e127d783e850,15,1,21,18,11,12,6,13,0.9375,1.1666666666666667,2.0
639a377ae81184e896e1daaf,7,0,10,11,6,7,0,7,1.0,0.9090909090909092,0.0
667a7ab2a6179deb78e9dd1a,5,0,14,13,13,3,5,8,1.0,1.0769230769230769,0.6
64807f91bd90462348c5d01b,28,15,24,20,25,10,9,11,0.6511627906976745,1.2,1.1111111111111112
66fc6008cda3d277a8978dbf,17,5,13,16,8,13,5,8,0.7727272727272727,0.8125,2.6
66c53f6e53501f126905fa7c,14,1,10,15,14,6,4,9,0.9333333333333332,0.6666666666666666,1.5
668c4b63509df0f32d2b4a72,2,0,21,10,4,6,7,4,1.0,2.1,0.8571428571428571
673b9921320df37633fc09d0,2,0,14,12,5,6,0,6,1.0,1.1666666666666667,0.0
5daa50967776b10016e1bc9b,8,2,21,19,5,3,9,7,0.8,1.105263157894737,0.3333333333333333
628eb50c442d584fa8275bcc,7,0,24,12,2,9,3,5,1.0,2.0,3.0
65f860a1ab03181926bce465,16,0,16,16,4,7,4,9,1.0,1.0,1.75
674063e8a4b1722a45be5cd9,10,0,12,12,4,0,7,8,1.0,1.0,0.0
