Conversation ID,C,MICO,MIIN,N,Other,Q,R,S,%MIC,R:Q,%CT
low_073,1,0,10,5,4,1,0,6,9.090909090909092,0.0,14.285714285714285
low_074,0,0,9,6,16,5,0,6,35.714285714285715,0.0,0.0
low_075,0,0,14,4,0,0,0,1,0.0,0.0,0.0
low_076,3,0,4,16,12,7,1,0,66.66666666666666,0.14285714285714285,100.0
low_077,2,1,11,16,12,13,7,11,65.625,0.5384615384615384,15.384615384615385
low_078,0,0,11,7,11,1,1,12,15.384615384615385,1.0,0.0
low_079,0,0,15,1,1,0,1,6,6.25,0.0,0.0
low_080,1,0,10,19,13,3,1,21,28.57142857142857,0.3333333333333333,4.545454545454546
low_081,2,12,8,32,4,11,5,11,77.77777777777779,0.45454545454545453,15.384615384615385
low_082,0,0,7,1,1,1,0,6,12.5,0.0,0.0
low_083,0,2,37,13,7,7,1,15,21.27659574468085,0.14285714285714285,0.0
low_084,17,3,28,33,50,9,9,28,42.857142857142854,1.0,37.77777777777778
low_085,1,1,2,38,3,13,3,8,89.47368421052632,0.23076923076923078,11.11111111111111
low_086,2,5,2,12,13,12,6,3,92.0,0.5,40.0
low_087,2,0,30,47,5,29,12,28,57.74647887323944,0.41379310344827586,6.666666666666667
low_088,5,9,21,25,22,16,1,30,55.319148936170215,0.0625,14.285714285714285
low_089,0,0,7,8,3,3,1,2,36.36363636363637,0.3333333333333333,0.0
low_090,2,0,6,5,0,0,0,1,0.0,0.0,66.66666666666666
low_091,0,0,3,3,3,0,0,3,0.0,0.0,0.0
low_092,0,1,20,30,6,9,2,0,37.5,0.2222222222222222,0.0
low_093,3,4,12,19,14,7,3,10,53.84615384615385,0.42857142857142855,23.076923076923077
low_094,1,1,10,9,8,5,7,14,56.52173913043478,1.4,6.666666666666667
low_095,2,0,13,14,17,5,0,12,27.77777777777778,0.0,14.285714285714285
low_096,1,1,17,2,3,3,3,5,29.166666666666668,1.0,16.666666666666664
low_097,1,3,26,15,17,9,3,15,36.58536585365854,0.3333333333333333,6.25
low_098,2,0,5,23,14,1,1,14,28.57142857142857,1.0,12.5
low_099,4,0,19,15,12,3,1,14,17.391304347826086,0.3333333333333333,22.22222222222222
low_100,0,1,80,27,30,8,6,0,15.789473684210526,0.75,0.0
low_101,3,1,11,11,3,5,2,6,42.10526315789473,0.4,33.33333333333333
low_102,0,0,5,18,8,10,0,8,66.66666666666666,0.0,0.0
low_103,0,1,15,18,8,6,2,10,37.5,0.3333333333333333,0.0
